domain,zone,status,summary
pk.ml,ml,undelegated,country geo
pl.ml,ml,undelegated,country geo
pm.ml,ml,undelegated,country geo
pn.ml,ml,undelegated,country geo
po.ml,ml,undelegated,country geo
pp.ml,ml,undelegated,country geo
pq.ml,ml,undelegated,country geo
pr.ml,ml,unknown,country geo
ps.ml,ml,undelegated,country geo
pt.ml,ml,active,country geo
pu.ml,ml,active,country geo
pv.ml,ml,undelegated,country geo
pw.ml,ml,undelegated,country geo
px.ml,ml,undelegated,country geo
py.ml,ml,unknown,country geo
pz.ml,ml,undelegated,country geo
qa.ml,ml,unknown,country geo
qb.ml,ml,undelegated,country geo
qc.ml,ml,undelegated,country geo
qd.ml,ml,undelegated,country geo
qe.ml,ml,undelegated,country geo
qf.ml,ml,undelegated,country geo
qg.ml,ml,undelegated,country geo
qh.ml,ml,undelegated,country geo
qi.ml,ml,undelegated,country geo
qj.ml,ml,undelegated,country geo
qk.ml,ml,undelegated,country geo
ql.ml,ml,undelegated,country geo
qm.ml,ml,marketed active parked,country geo
qn.ml,ml,undelegated,country geo
qo.ml,ml,undelegated,country geo
qp.ml,ml,undelegated,country geo
qq.ml,ml,unknown,country geo
qr.ml,ml,undelegated,country geo
qs.ml,ml,undelegated,country geo
qt.ml,ml,undelegated,country geo
qu.ml,ml,unknown,country geo
qv.ml,ml,undelegated,country geo
qw.ml,ml,undelegated,country geo
qx.ml,ml,,country geo
qy.ml,ml,undelegated,country geo
qz.ml,ml,undelegated,country geo
ra.ml,ml,undelegated,country geo
rb.ml,ml,undelegated,country geo
rc.ml,ml,undelegated,country geo
rd.ml,ml,undelegated,country geo
re.ml,ml,undelegated,country geo
rf.ml,ml,undelegated,country geo
rg.ml,ml,undelegated,country geo
rh.ml,ml,,country geo
ri.ml,ml,,country geo
rj.ml,ml,undelegated,country geo
rk.ml,ml,undelegated,country geo
rl.ml,ml,,country geo
rm.ml,ml,undelegated,country geo
rn.ml,ml,undelegated,country geo
ro.ml,ml,unknown,country geo
rp.ml,ml,undelegated,country geo
rq.ml,ml,undelegated,country geo
rr.ml,ml,undelegated,country geo
rs.ml,ml,undelegated,country geo
rt.ml,ml,undelegated,country geo
ru.ml,ml,undelegated,country geo
rv.ml,ml,unknown,country geo
rw.ml,ml,undelegated,country geo
rx.ml,ml,undelegated,country geo
ry.ml,ml,undelegated,country geo
rz.ml,ml,undelegated,country geo
sa.ml,ml,undelegated,country geo
sb.ml,ml,undelegated,country geo
sc.ml,ml,undelegated,country geo
sd.ml,ml,undelegated,country geo
se.ml,ml,undelegated,country geo
sf.ml,ml,undelegated,country geo
sg.ml,ml,undelegated,country geo
sh.ml,ml,undelegated,country geo
si.ml,ml,active,country geo
sj.ml,ml,unknown,country geo
sk.ml,ml,undelegated,country geo
sl.ml,ml,undelegated,country geo
sm.ml,ml,undelegated,country geo
sn.ml,ml,undelegated,country geo
so.ml,ml,undelegated,country geo
sp.ml,ml,undelegated,country geo
sq.ml,ml,undelegated,country geo
sr.ml,ml,undelegated,country geo
ss.ml,ml,undelegated,country geo
st.ml,ml,undelegated,country geo
su.ml,ml,undelegated,country geo
sv.ml,ml,undelegated,country geo
sw.ml,ml,undelegated,country geo
sx.ml,ml,undelegated,country geo
sy.ml,ml,undelegated,country geo
sz.ml,ml,undelegated,country geo
ta.ml,ml,undelegated,country geo
tb.ml,ml,undelegated,country geo
tc.ml,ml,undelegated,country geo
td.ml,ml,undelegated,country geo
te.ml,ml,undelegated,country geo
tf.ml,ml,undelegated,country geo
tg.ml,ml,undelegated,country geo
th.ml,ml,undelegated,country geo
ti.ml,ml,undelegated,country geo
tj.ml,ml,undelegated,country geo
tk.ml,ml,undelegated,country geo
tl.ml,ml,undelegated,country geo
tm.ml,ml,undelegated,country geo
tn.ml,ml,undelegated,country geo
to.ml,ml,undelegated,country geo
tp.ml,ml,undelegated,country geo
tq.ml,ml,undelegated,country geo
tr.ml,ml,undelegated,country geo
ts.ml,ml,undelegated,country geo
tt.ml,ml,undelegated,country geo
tu.ml,ml,undelegated,country geo
tv.ml,ml,undelegated,country geo
tw.ml,ml,undelegated,country geo
tx.ml,ml,undelegated,country geo
ty.ml,ml,undelegated,country geo
tz.ml,ml,undelegated,country geo
ua.ml,ml,unknown,country geo
ub.ml,ml,undelegated,country geo
uc.ml,ml,undelegated,country geo
ud.ml,ml,undelegated,country geo
ue.ml,ml,undelegated,country geo
uf.ml,ml,undelegated,country geo
ug.ml,ml,undelegated,country geo
uh.ml,ml,undelegated,country geo
ui.ml,ml,undelegated,country geo
uj.ml,ml,,country geo
uk.ml,ml,undelegated,country geo
ul.ml,ml,undelegated,country geo
um.ml,ml,undelegated,country geo
un.ml,ml,undelegated,country geo
uo.ml,ml,unknown,country geo
up.ml,ml,undelegated,country geo
uq.ml,ml,undelegated,country geo
ur.ml,ml,undelegated,country geo
us.ml,ml,undelegated,country geo
ut.ml,ml,undelegated,country geo
uu.ml,ml,undelegated,country geo
uv.ml,ml,undelegated,country geo
uw.ml,ml,undelegated,country geo
ux.ml,ml,undelegated,country geo
uy.ml,ml,undelegated,country geo
uz.ml,ml,undelegated,country geo
va.ml,ml,active,country geo
vb.ml,ml,undelegated,country geo
vc.ml,ml,undelegated,country geo
vd.ml,ml,undelegated,country geo
ve.ml,ml,undelegated,country geo
vf.ml,ml,undelegated,country geo
vg.ml,ml,undelegated,country geo
vh.ml,ml,undelegated,country geo
vi.ml,ml,unknown,country geo
vj.ml,ml,undelegated,country geo
vk.ml,ml,undelegated,country geo
vl.ml,ml,,country geo
vm.ml,ml,undelegated,country geo
vn.ml,ml,undelegated,country geo
vo.ml,ml,undelegated,country geo
vp.ml,ml,undelegated,country geo
vq.ml,ml,undelegated,country geo
vr.ml,ml,undelegated,country geo
vs.ml,ml,undelegated,country geo
vt.ml,ml,undelegated,country geo
vu.ml,ml,undelegated,country geo
vv.ml,ml,undelegated,country geo
vw.ml,ml,active,country geo
vx.ml,ml,undelegated,country geo
vy.ml,ml,undelegated,country geo
vz.ml,ml,undelegated,country geo
wa.ml,ml,undelegated,country geo
wb.ml,ml,undelegated,country geo
wc.ml,ml,undelegated,country geo
wd.ml,ml,undelegated,country geo
we.ml,ml,undelegated,country geo
wf.ml,ml,undelegated,country geo
wh.ml,ml,undelegated,country geo
wi.ml,ml,unknown,country geo
wj.ml,ml,undelegated,country geo
wk.ml,ml,undelegated,country geo
wl.ml,ml,undelegated,country geo
wm.ml,ml,undelegated,country geo
wn.ml,ml,undelegated,country geo
wo.ml,ml,undelegated,country geo
wp.ml,ml,undelegated,country geo
wq.ml,ml,undelegated,country geo
wr.ml,ml,unknown,country geo
ws.ml,ml,undelegated,country geo
wt.ml,ml,undelegated,country geo
wu.ml,ml,undelegated,country geo
wv.ml,ml,undelegated,country geo
ww.ml,ml,undelegated,country geo
wx.ml,ml,undelegated,country geo
wy.ml,ml,undelegated,country geo
wz.ml,ml,undelegated,country geo
xa.ml,ml,undelegated,country geo
xb.ml,ml,undelegated,country geo
xc.ml,ml,undelegated,country geo
xd.ml,ml,undelegated,country geo
xe.ml,ml,undelegated,country geo
xf.ml,ml,undelegated,country geo
xg.ml,ml,,country geo
xh.ml,ml,undelegated,country geo
xi.ml,ml,undelegated,country geo
xj.ml,ml,undelegated,country geo
xk.ml,ml,undelegated,country geo
xl.ml,ml,undelegated,country geo
xm.ml,ml,undelegated,country geo
xn.ml,ml,undelegated,country geo
xo.ml,ml,undelegated,country geo
xp.ml,ml,undelegated,country geo
xq.ml,ml,undelegated,country geo
xr.ml,ml,undelegated,country geo
xs.ml,ml,undelegated,country geo
xt.ml,ml,undelegated,country geo
xu.ml,ml,undelegated,country geo
xv.ml,ml,undelegated,country geo
xw.ml,ml,undelegated,country geo
xx.ml,ml,undelegated,country geo
xy.ml,ml,undelegated,country geo
xz.ml,ml,undelegated,country geo
ya.ml,ml,undelegated,country geo
yb.ml,ml,,country geo
yc.ml,ml,undelegated,country geo
yd.ml,ml,undelegated,country geo
