domain,zone,status,summary
pv.fo,fo,active,active
pw.fo,fo,undelegated inactive,inactive
px.fo,fo,undelegated inactive,inactive
py.fo,fo,undelegated inactive,inactive
pz.fo,fo,undelegated inactive,inactive
qa.fo,fo,active,active
qb.fo,fo,undelegated inactive,inactive
qc.fo,fo,undelegated inactive,inactive
qd.fo,fo,undelegated inactive,inactive
qe.fo,fo,undelegated inactive,inactive
qf.fo,fo,undelegated inactive,inactive
qg.fo,fo,undelegated inactive,inactive
qh.fo,fo,undelegated inactive,inactive
qi.fo,fo,active,active
qj.fo,fo,undelegated inactive,inactive
qk.fo,fo,undelegated inactive,inactive
ql.fo,fo,undelegated inactive,inactive
qm.fo,fo,undelegated inactive,inactive
qn.fo,fo,undelegated inactive,inactive
qo.fo,fo,undelegated inactive,inactive
qp.fo,fo,active,active
qq.fo,fo,active,active
qr.fo,fo,marketed active,active
qs.fo,fo,undelegated inactive,inactive
qt.fo,fo,undelegated inactive,inactive
qu.fo,fo,active,active
qv.fo,fo,undelegated inactive,inactive
qw.fo,fo,active,active
qx.fo,fo,undelegated inactive,inactive
qy.fo,fo,undelegated inactive,inactive
qz.fo,fo,undelegated inactive,inactive
ra.fo,fo,undelegated active,active
rb.fo,fo,active,active
rc.fo,fo,undelegated inactive,inactive
rd.fo,fo,active,active
re.fo,fo,active,active
rf.fo,fo,active,active
rg.fo,fo,undelegated inactive,inactive
rh.fo,fo,active,active
ri.fo,fo,undelegated inactive,inactive
rj.fo,fo,undelegated inactive,inactive
rk.fo,fo,active,active
rl.fo,fo,undelegated inactive,inactive
rm.fo,fo,undelegated inactive,inactive
rn.fo,fo,undelegated inactive,inactive
ro.fo,fo,active,active
rp.fo,fo,active,active
rq.fo,fo,active,active
rr.fo,fo,marketed active parked,parked
rs.fo,fo,active,active
rt.fo,fo,active,active
ru.fo,fo,active,active
rv.fo,fo,active,active
rw.fo,fo,active,active
rx.fo,fo,active,active
ry.fo,fo,undelegated inactive,inactive
rz.fo,fo,undelegated inactive,inactive
sa.fo,fo,active,active
sb.fo,fo,active,active
sc.fo,fo,marketed priced active,active
sd.fo,fo,active,active
se.fo,fo,active,active
sf.fo,fo,active,active
sg.fo,fo,marketed priced active,active
sh.fo,fo,undelegated active,active
si.fo,fo,active,active
sj.fo,fo,undelegated inactive,inactive
sk.fo,fo,active,active
sl.fo,fo,active,active
sm.fo,fo,active,active
sn.fo,fo,active,active
so.fo,fo,marketed priced active,active
sp.fo,fo,active,active
sq.fo,fo,active,active
sr.fo,fo,active,active
ss.fo,fo,active,active
st.fo,fo,active,active
su.fo,fo,active,active
sv.fo,fo,active,active
sw.fo,fo,active,active
sx.fo,fo,undelegated inactive,inactive
sy.fo,fo,undelegated inactive,inactive
sz.fo,fo,undelegated inactive,inactive
ta.fo,fo,active,active
tb.fo,fo,active,active
tc.fo,fo,active,active
td.fo,fo,undelegated inactive,inactive
te.fo,fo,undelegated inactive,inactive
tf.fo,fo,active,active
tg.fo,fo,active,active
th.fo,fo,undelegated inactive,inactive
ti.fo,fo,undelegated inactive,inactive
tj.fo,fo,active,active
tk.fo,fo,active,active
tl.fo,fo,active,active
tm.fo,fo,active,active
tn.fo,fo,marketed active,active
to.fo,fo,marketed active,active
tp.fo,fo,active,active
tq.fo,fo,undelegated inactive,inactive
tr.fo,fo,undelegated inactive,inactive
ts.fo,fo,active,active
tt.fo,fo,active,active
tu.fo,fo,marketed active parked,parked
tv.fo,fo,active,active
tw.fo,fo,undelegated inactive,inactive
tx.fo,fo,active,active
ty.fo,fo,active,active
tz.fo,fo,active,active
ua.fo,fo,active,active
ub.fo,fo,undelegated inactive,inactive
uc.fo,fo,undelegated inactive,inactive
ud.fo,fo,undelegated inactive,inactive
ue.fo,fo,undelegated inactive,inactive
uf.fo,fo,active,active
ug.fo,fo,undelegated inactive,inactive
uh.fo,fo,undelegated inactive,inactive
ui.fo,fo,active,active
uj.fo,fo,undelegated inactive,inactive
uk.fo,fo,marketed active,active
ul.fo,fo,active,active
um.fo,fo,active,active
un.fo,fo,active,active
uo.fo,fo,undelegated inactive,inactive
up.fo,fo,active,active
uq.fo,fo,undelegated inactive,inactive
ur.fo,fo,active,active
us.fo,fo,active,active
ut.fo,fo,active,active
uu.fo,fo,active,active
uv.fo,fo,undelegated inactive,inactive
uw.fo,fo,undelegated inactive,inactive
ux.fo,fo,active,active
uy.fo,fo,undelegated inactive,inactive
uz.fo,fo,undelegated inactive,inactive
va.fo,fo,active,active
vb.fo,fo,active,active
vc.fo,fo,marketed active,active
vd.fo,fo,undelegated inactive,inactive
ve.fo,fo,undelegated inactive,inactive
vf.fo,fo,active,active
vg.fo,fo,undelegated inactive,inactive
vh.fo,fo,active,active
vi.fo,fo,active,active
vj.fo,fo,undelegated inactive,inactive
vk.fo,fo,active,active
vl.fo,fo,active,active
vm.fo,fo,undelegated inactive,inactive
vn.fo,fo,active,active
vo.fo,fo,active,active
vp.fo,fo,active,active
vq.fo,fo,undelegated inactive,inactive
vr.fo,fo,active,active
vs.fo,fo,active,active
vt.fo,fo,active,active
vu.fo,fo,undelegated inactive,inactive
vv.fo,fo,active,active
vw.fo,fo,active,active
vx.fo,fo,undelegated inactive,inactive
vy.fo,fo,undelegated inactive,inactive
vz.fo,fo,undelegated inactive,inactive
wa.fo,fo,active,active
wb.fo,fo,active,active
wc.fo,fo,undelegated inactive,inactive
wd.fo,fo,undelegated inactive,inactive
we.fo,fo,marketed priced active,active
wf.fo,fo,undelegated inactive,inactive
wg.fo,fo,undelegated inactive,inactive
wh.fo,fo,active,active
wi.fo,fo,undelegated active,active
wj.fo,fo,undelegated inactive,inactive
wk.fo,fo,undelegated inactive,inactive
wl.fo,fo,undelegated inactive,inactive
wm.fo,fo,undelegated inactive,inactive
wn.fo,fo,undelegated inactive,inactive
wo.fo,fo,undelegated inactive,inactive
wp.fo,fo,active,active
